# vertexID,curvature
0,1.047000
1,0.020000
2,0.020000
3,0.020000
4,0.020000
5,0.020000
6,0.020000
7,0.020000
8,0.020000
9,0.020000
10,0.020000
11,0.020000
12,0.020000
13,0.020000
14,0.020000
15,0.020000
16,0.020000
17,0.020000
18,0.020000
19,0.020000
20,0.020000
21,0.020000
22,0.020000
23,0.020000
24,0.020000
25,0.020000
26,0.020000
27,0.020000
28,0.020000
29,0.020000
30,0.020000
31,0.020000
32,0.020000
33,0.020000
34,0.020000
35,0.020000
36,0.020000
37,0.020000
38,0.020000
39,0.020000
40,0.020000
41,0.020000
42,0.020000
43,0.020000
44,0.020000
45,0.020000
46,0.020000
47,0.020000
48,0.020000
49,0.020000
50,0.020000
51,0.020000
52,0.020000
53,0.020000
54,0.020000
55,0.020000
56,99.000000
57,99.000000
58,99.000000
59,99.000000
60,99.000000
61,99.000000
62,99.000000
63,99.000000
64,99.000000
65,99.000000
66,99.000000
67,99.000000
68,99.000000
69,99.000000
70,99.000000
71,99.000000
72,99.000000
73,99.000000
74,99.000000
75,99.000000
76,99.000000
77,99.000000
78,99.000000
79,99.000000
80,99.000000
81,99.000000
82,99.000000
83,99.000000
84,99.000000
85,99.000000
86,99.000000
87,99.000000
88,99.000000
89,99.000000
90,99.000000
91,99.000000
92,99.000000
93,99.000000
94,99.000000
95,99.000000
